date,prices_M0,prices_M1,prices_M2,prices_M3,prices_M4,prices_M5,prices_M6,prices_M7,prices_M8,prices_M9,prices_M10,spreads_M0,spreads_M1,spreads_M2,spreads_M3,spreads_M4,spreads_M5,spreads_M6,spreads_M7,spreads_M8,spreads_M9,spreads_M10,oi_M0,oi_M1,oi_M2,oi_M3,oi_M4,oi_M5,oi_M6,oi_M7,oi_M8,oi_M9,oi_M10,volume_M0,volume_M1,volume_M2,volume_M3,volume_M4,volume_M5,volume_M6,volume_M7,volume_M8,volume_M9,volume_M10,label_M0,label_M1,label_M2,label_M3,label_M4,label_M5,label_M6,label_M7,label_M8,label_M9,label_M10
2021-09-24,73.98,73.61,73.07,72.47,71.85,71.24,70.64,70.02,69.4,,,0.0,-0.37000000000000455,-0.9100000000000108,-1.5100000000000051,-2.1300000000000097,-2.740000000000009,-3.3400000000000034,-3.960000000000008,-4.579999999999998,,,461566.0,338272.0,138771.0,85769.0,115451.0,54735.0,47716.0,163422.0,39554.0,,,350382.0,152837.0,50842.0,18894.0,24256.0,8846.0,6782.0,30888.0,4878.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-27,75.45,75.08,74.53,73.92,73.32,72.71,72.1,71.49,70.86,,,0.0,-0.37000000000000455,-0.9200000000000017,-1.5300000000000011,-2.1300000000000097,-2.740000000000009,-3.3500000000000085,-3.960000000000008,-4.590000000000003,,,463469.0,341738.0,140061.0,85422.0,118087.0,54238.0,47227.0,164050.0,39665.0,,,417829.0,207113.0,71925.0,33040.0,44192.0,16215.0,9803.0,40359.0,5668.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-28,75.29,74.9,74.33,73.7,73.09,72.48,71.87,71.27,70.64,,,0.0,-0.39000000000000057,-0.960000000000008,-1.5900000000000034,-2.200000000000003,-2.8100000000000023,-3.4200000000000017,-4.02000000000001,-4.650000000000006,,,455434.0,345370.0,142849.0,86590.0,118907.0,54296.0,47223.0,162856.0,39376.0,,,476143.0,177681.0,64958.0,29658.0,27348.0,11075.0,6922.0,30472.0,3964.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-29,74.83,74.5,73.99,73.41,72.84,72.27,71.7,71.11,70.5,,,0.0,-0.3299999999999983,-0.8400000000000034,-1.4200000000000017,-1.9899999999999949,-2.5600000000000023,-3.1299999999999955,-3.719999999999999,-4.329999999999998,,,445136.0,348862.0,149096.0,87262.0,120098.0,54375.0,46874.0,164006.0,39058.0,,,424193.0,169908.0,59398.0,20484.0,27233.0,8061.0,3672.0,24364.0,2387.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-30,75.03,74.7,74.19,73.59,72.99,72.38,71.77,71.15,70.53,,,0.0,-0.3299999999999983,-0.8400000000000034,-1.4399999999999977,-2.0400000000000063,-2.6500000000000057,-3.260000000000005,-3.8799999999999955,-4.5,,,433297.0,347081.0,153467.0,88611.0,120759.0,54223.0,45338.0,163257.0,38028.0,,,583189.0,239145.0,86595.0,32465.0,33004.0,11435.0,6794.0,37969.0,4606.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-10-01,75.88,75.58,75.12,74.55,73.98,73.4,72.82,72.23,71.61,70.4,,0.0,-0.29999999999999716,-0.7599999999999909,-1.3299999999999983,-1.8999999999999915,-2.4799999999999898,-3.0600000000000023,-3.6499999999999915,-4.269999999999996,-5.47999999999999,,421794.0,344897.0,160452.0,89393.0,119679.0,53679.0,45145.0,166675.0,37986.0,65981.0,,388996.0,169247.0,81295.0,25836.0,31554.0,12168.0,6144.0,32979.0,2898.0,5806.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-04,77.62,77.33,76.88,76.3,75.71,75.09,74.47,73.82,73.15,71.84,,0.0,-0.29000000000000625,-0.7400000000000091,-1.3200000000000074,-1.9100000000000108,-2.530000000000001,-3.1500000000000057,-3.8000000000000114,-4.469999999999999,-5.780000000000001,,410814.0,344317.0,169103.0,87293.0,124012.0,54139.0,49366.0,170598.0,39414.0,66407.0,,458006.0,216820.0,87532.0,40505.0,47435.0,17793.0,15161.0,42014.0,6793.0,9113.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-05,78.93,78.57,78.09,77.51,76.92,76.31,75.68,75.02,74.33,72.98,,0.0,-0.36000000000001364,-0.8400000000000034,-1.4200000000000017,-2.010000000000005,-2.6200000000000045,-3.25,-3.910000000000011,-4.6000000000000085,-5.950000000000003,,396504.0,347554.0,183002.0,88587.0,127287.0,56142.0,53205.0,174792.0,39831.0,69786.0,,449617.0,238916.0,117157.0,73512.0,65477.0,24187.0,14672.0,47079.0,7561.0,15299.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-06,77.43,77.06,76.59,76.04,75.47,74.87,74.26,73.62,72.96,71.61,,0.0,-0.37000000000000455,-0.8400000000000034,-1.3900000000000006,-1.960000000000008,-2.5600000000000023,-3.1700000000000017,-3.8100000000000023,-4.470000000000013,-5.820000000000007,,380142.0,347364.0,190035.0,90067.0,132516.0,55766.0,55490.0,177349.0,41480.0,69829.0,,459055.0,200174.0,84840.0,34580.0,50740.0,15526.0,11705.0,42083.0,8736.0,10935.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-07,78.3,77.96,77.45,76.87,76.28,75.67,75.05,74.41,73.74,72.37,,0.0,-0.3400000000000034,-0.8499999999999943,-1.4299999999999926,-2.019999999999996,-2.6299999999999955,-3.25,-3.8900000000000006,-4.560000000000002,-5.929999999999993,,355887.0,347664.0,207518.0,91600.0,135735.0,57788.0,56254.0,176895.0,44097.0,69407.0,,545008.0,265132.0,125997.0,53784.0,51471.0,18062.0,11244.0,43736.0,18905.0,15751.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-08,79.35,78.76,78.03,77.31,76.64,75.99,75.35,74.71,74.05,72.71,,0.0,-0.5899999999999892,-1.3199999999999932,-2.039999999999992,-2.7099999999999937,-3.3599999999999994,-4.0,-4.640000000000001,-5.299999999999997,-6.640000000000001,,315706.0,333068.0,228332.0,93163.0,143564.0,60809.0,54278.0,182360.0,43635.0,69758.0,,662010.0,446498.0,203756.0,67343.0,94943.0,26287.0,16351.0,74998.0,16068.0,22181.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-11,80.52,79.92,79.25,78.56,77.88,77.22,76.57,75.92,75.25,73.88,,0.0,-0.5999999999999943,-1.269999999999996,-1.9599999999999937,-2.6400000000000006,-3.299999999999997,-3.950000000000003,-4.599999999999994,-5.269999999999996,-6.640000000000001,,245635.0,376766.0,236484.0,88227.0,140119.0,57529.0,53409.0,181363.0,46319.0,71095.0,,653756.0,452229.0,255143.0,84214.0,77309.0,32879.0,13614.0,54449.0,19659.0,14892.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-12,80.64,79.92,79.19,78.47,77.79,77.14,76.51,75.89,75.24,73.92,,0.0,-0.7199999999999989,-1.4500000000000028,-2.1700000000000017,-2.8499999999999943,-3.5,-4.1299999999999955,-4.75,-5.400000000000006,-6.719999999999999,,207644.0,401747.0,252636.0,88817.0,139889.0,58579.0,54475.0,180960.0,50108.0,71288.0,,598181.0,358195.0,149828.0,48636.0,51913.0,20563.0,15976.0,41864.0,15536.0,18856.0,,X,Z,F,G,H,J,K,M,N,U,None
